post,latitude,longitude
1.Ingierstrand,59.8183082,10.7469041
2 Hvalstrand,59.842857,10.4883838
3 Sjøstrand. Hurum,59.7978812,10.4951453
4 Fornebustranda,59.888117,10.5835113
5 Torvøya. Utenfor Storøyodden,59.8858635,10.5847946
6 Killingen,59.9099005,10.6546019
7 Fyrsteilene,59.8029927,10.4887129
8 Husbergøya,59.8626402,10.7149639
9 Langåra. Butikken,59.8514029,10.5313536
10 Søndre Langåra. Nord spissen,59.7580842,10.561621
11 Sjøholmen. Flytebrygge med skulptur,59.8919072,10.5384235
12 Storeflua. Skvalpeskjær syd avSkjerholmene,59.8372322,10.719023
13 Svartskog brygge,59.786179,10.733981
14 Sørenga ( indre kanal ),59.9033377,10.7526353
15 Arbeidernes Roklubb,59.8948529,10.7313554
16 Bestumkilen Roklubb,59.9175127,10.6609633
17 Bærum Roklubb,59.8860124,10.5340435
18 Christiania Roklub,59.9094875,10.6998632
19 Norske Studenters Roklub,59.9071213,10.6929413
2O Ormsund Roklubb,59.8659039,10.7601763
21 Oslo Roklubb,59.9173567,10.6738278
22 Solodden,59.8843013,10.5427055
23 Veritas Roklubb,59.8880713,10.5650387
24 Bunnefjorden,59.7169257,10.7106393
25 Rådhusbrygga,59.9105787,10.7310193
26 Koksabukta,59.8888905,10.5962671
27 Halsbukta ( Nesøya NØ ),59.8754247,10.5182043
28 Nærsnesbukta (Syd for Slemmestad ),59.7590858,10.5036673
29 Kirkevika ( Nesoddlandet Øst ),59.8110545,10.6911281
30 Hvervenbukta,59.8329723,10.762465
